placement_config,primitive_type,workload_params,latency_mean_ns,latency_p50_ns,latency_p99_ns,throughput_ops_per_sec,host_cpu_utilization_pct,host_cpu_utilization_peak_pct,switch_stage_utilization_pct,switch_stage_utilization_peak_pct,dpu_core_utilization_pct,dpu_core_utilization_peak_pct,dpu_memory_utilization_pct,dpu_memory_utilization_peak_pct,exception_rate_pct,overflow_rate_pct
switch_only,paxos,n=100,470565.73333333334,466465.5,597787.8499999999,19.391555063695893,0.0,0.0,0.9614022972317258,0.9765625,NULL,NULL,NULL,NULL,0.0,0.0
switch_host,paxos,n=100,552274.7333333333,479327.0,2092199.4499999995,19.312647299451985,0.0,0.0,0.960759645708091,0.9765625,NULL,NULL,NULL,NULL,0.0,0.0
switch_dpu,paxos,n=100,562058.411111111,493306.0,1841923.18,19.307427084470817,0.0,0.0,0.9594627947358051,0.9765625,0.0,0.0,0.0,0.0,0.0,0.0
switch_dpu_host,paxos,n=100,551979.1777777778,497125.0,1869994.91,19.316818466890133,0.0,0.0,0.9607236612280124,0.9765625,0.0,0.0,0.0,0.0,0.0,0.0
dpu_only,paxos,n=100,559018.9333333333,514768.0,1051497.5199999998,19.31403675203545,0.0,0.0,0.0,0.0,0.0,0.0,0.0001618172973394394,0.0001618172973394394,0.0,0.0
dpu_host,paxos,n=100,730839.9666666667,538404.0,2062401.29,19.118275203812903,0.0,0.0,0.0,0.0,0.0,0.0,0.0001618172973394394,0.0001618172973394394,0.0,0.0
host_only,paxos,n=100,571042.6741573034,496715.0,2206116.2000000053,19.32847004442939,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0
switch_only,lock,n=100,801152.2,631239.0,3055143.33,19.487861933227258,0.0,0.0,0.09527783483976993,0.09765625,NULL,NULL,NULL,NULL,0.0,0.0
switch_host,lock,n=100,635564.5111111111,626909.0,779078.82,19.64489415662263,0.0,0.0,0.09541611815040316,0.09765625,NULL,NULL,NULL,NULL,0.0,0.0
switch_dpu,lock,n=100,809729.6666666666,673011.5,2191692.2199999946,19.504384056967197,0.0,0.0,0.095295386146104,0.09765625,0.0,0.0,0.0,0.0,0.0,0.0
switch_dpu_host,lock,n=100,716831.9888888889,643900.5,1676109.2199999993,19.5842766177234,0.0,0.0,0.09531887000263019,0.09765625,0.0,0.0,0.0,0.0,0.0,0.0
dpu_only,lock,n=100,830224.0444444445,641549.5,3088040.099999996,19.523473717375815,0.0,0.0,0.0,0.0,0.0,0.0,5.587935447692871e-05,5.587935447692871e-05,0.0,0.0
dpu_host,lock,n=100,714113.2222222222,642074.0,1610004.8599999985,19.58886347463115,0.0,0.0,0.0,0.0,0.0,0.0,5.587935447692871e-05,5.587935447692871e-05,0.0,0.0
host_only,lock,n=100,1702111.4666666666,651630.0,13457940.159999996,19.19055088388757,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0
switch_only,barrier,n=100,790696.174863388,699201.0,3463055.4800000265,38.52176750410986,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,0.0
switch_host,barrier,n=100,10886.583333333334,10973.0,11552.140000000005,39.568296197850955,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,0.0
switch_dpu,barrier,n=100,1286465.923076923,799704.0,6952004.549999991,38.02592819810437,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,0.0
switch_dpu_host,barrier,n=100,1503963.7802197803,1111741.5,8381801.970000001,37.86952708171907,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,0.0
dpu_only,barrier,n=100,892934.7569060774,755297.0,2436413.199999992,38.97321071392295,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,0.0
dpu_host,barrier,n=100,14781.888888888889,14653.0,14982.279999999999,44.11366255712609,0.0,0.0,NULL,NULL,0.0,0.0,4.8954135332352074e-08,9.313225746154785e-08,0.0,0.0
host_only,barrier,n=100,9991.094444444445,9790.0,15207.25,39.5682645195567,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0
